,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.state,name,referralId
29,"[{'id': '4bf58dd8d48988d1f2941735', 'name': 'Sporting Goods Shop', 'pluralName': 'Sporting Goods Shops', 'shortName': 'Sporting Goods', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}, 'primary': True}]",False,4b05876ef964a5208b9222e3,456 Pitt Street,AU,Sydney,Australia,,84,"['456 Pitt Street', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.864641, 'lng': 151.210584}]",-33.864641,151.210584,NSW,Cheeky Monkey Cycle Company,v-1565409053
0,"[{'id': '4f2a23984b9023bd5841ed2c', 'name': 'Moving Target', 'pluralName': 'Moving Targets', 'shortName': 'Moving Target', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/movingtarget_', 'suffix': '.png'}, 'primary': True}]",False,527378da11d2ab6b39bb7c5f,,BR,,Brasil,,42,['Brasil'],"[{'label': 'display', 'lat': -23.534131395296956, 'lng': -46.62544543977818}]",-23.534131395296956,-46.62544543977818,,Av do estado São Paulo,v-1565409054
1,"[{'id': '4bf58dd8d48988d1c5941735', 'name': 'Sandwich Place', 'pluralName': 'Sandwich Places', 'shortName': 'Sandwiches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",False,4f37df11e4b0d26ba1717c50,"Rua João Teodoro, 586",BR,São Paulo,Brasil,com Rua Cantareira,29,"['Rua João Teodoro, 586 (com Rua Cantareira)', 'São Paulo, SP', '0105000', 'Brasil']","[{'label': 'display', 'lat': -23.533991, 'lng': -46.625446}]",-23.533991,-46.625446,SP,Tamijak Sucos e Lanches,v-1565409054
2,"[{'id': '4eb1d4dd4b900d56c88a45fd', 'name': 'River', 'pluralName': 'Rivers', 'shortName': 'River', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}, 'primary': True}]",False,4c85458cc5a9952173af9305,Av. do Estado,BR,São Paulo,Brasil,,88,"['Av. do Estado', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533850804156195, 'lng': -46.62615210171553}]",-23.533850804156195,-46.62615210171553,SP,Rio Tamanduateí,v-1565409054
3,"[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,51395850e4b06091ac4d0662,,BR,,Brasil,,195,['Brasil'],"[{'label': 'display', 'lat': -23.53545462563937, 'lng': -46.62582703598035}]",-23.53545462563937,-46.62582703598035,,Toca do Mosquito,v-1565409054
4,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",False,51cedf0f498e45cf2d2e826d,,BR,,Brasil,,150,['Brasil'],"[{'label': 'display', 'lat': -23.532479524194006, 'lng': -46.62572810335119}]",-23.532479524194006,-46.62572810335119,,Padaria Nova Era,v-1565409054
5,"[{'id': '4bf58dd8d48988d13d941735', 'name': 'High School', 'pluralName': 'High Schools', 'shortName': 'High School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c6a6ead8d22c9286fb1b945,"R. da Cantareira, 1351",BR,São Paulo,Brasil,R. Jorge Miranda,145,"['R. da Cantareira, 1351 (R. Jorge Miranda)', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533399379715878, 'lng': -46.62665619335155}]",-23.533399379715878,-46.62665619335155,SP,Liceu de Artes e Ofícios de São Paulo,v-1565409054
6,"[{'id': '4bf58dd8d48988d1f6931735', 'name': 'General Travel', 'pluralName': 'General Travel', 'shortName': 'Travel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}, 'primary': True}]",False,51b8a539498e26051016d558,"Rua Pedro Alvares Cabral, 145",BR,,Brasil,"Rua João Teodoro, 690",55,"['Rua Pedro Alvares Cabral, 145 (Rua João Teodoro, 690)', 'Brasil']","[{'label': 'display', 'lat': -23.53414229370332, 'lng': -46.625652165480034}]",-23.53414229370332,-46.625652165480034,,Adesul Transportadora,v-1565409054
7,"[{'id': '4bf58dd8d48988d13b941735', 'name': 'School', 'pluralName': 'Schools', 'shortName': 'School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,5395a1a7498e82b504b51f9c,"Rua Canindé, 153",BR,,Brasil,,161,"['Rua Canindé, 153', 'Brasil']","[{'label': 'display', 'lat': -23.533198744531834, 'lng': -46.62383428801352}]",-23.533198744531834,-46.62383428801352,,Escola Estadual Orestes Guimarães,v-1565409054
8,"[{'id': '4bf58dd8d48988d115951735', 'name': 'Bike Shop', 'pluralName': 'Bike Shops', 'shortName': 'Bike Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}, 'primary': True}]",False,509e80b8e4b0872dbd43bc6d,Avenida Do Estado,BR,São Paulo,Brasil,,73,"['Avenida Do Estado', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.53434452062471, 'lng': -46.62565272624169}]",-23.53434452062471,-46.62565272624169,SP,Bicicletaria Mil Graus,v-1565409054
9,[],False,4e58e44bd4c0ba8c119584a7,"R. 0vautier, 323",BR,São Paulo,Brasil,,116,"['R. 0vautier, 323', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.532727954690085, 'lng': -46.625370063096035}]",-23.532727954690085,-46.625370063096035,SP,Tuti Flores,v-1565409054
10,"[{'id': '4bf58dd8d48988d143941735', 'name': 'Breakfast Spot', 'pluralName': 'Breakfast Spots', 'shortName': 'Breakfast', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/breakfast_', 'suffix': '.png'}, 'primary': True}]",False,53155d4d498efeb8126420b5,"Av: Do Estado, 2340",BR,São Paulo,Brasil,Av: São Caetano,175,"['Av: Do Estado, 2340 (Av: São Caetano)', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.535284536455244, 'lng': -46.62576579194867}]",-23.535284536455244,-46.62576579194867,SP,Tia do Café,v-1565409054
11,"[{'id': '4bf58dd8d48988d117941735', 'name': 'Beer Garden', 'pluralName': 'Beer Gardens', 'shortName': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}, 'primary': True}]",False,5000d5bfe4b0b1602b5ed559,"Rua Joao Teodoro, 969",BR,São Paulo,Brasil,,224,"['Rua Joao Teodoro, 969', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534679388883973, 'lng': -46.62333022490943}]",-23.534679388883973,-46.62333022490943,SP,Grill do Estado,v-1565409054
12,"[{'id': '4bf58dd8d48988d12e941735', 'name': 'Police Station', 'pluralName': 'Police Stations', 'shortName': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}, 'primary': True}]",False,59f9b97ae679bc2eaadfac8e,,BR,São Paulo,Brasil,,57,"['São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534182, 'lng': -46.624944}]",-23.534182,-46.624944,SP,Futura Nova Sede Do Cptran,v-1565409054
13,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,52dce44a11d244d38fa59ef8,Shopping Azulão,BR,São Paulo,Brasil,,110,"['Shopping Azulão', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533625323297567, 'lng': -46.62636410224988}]",-23.533625323297567,-46.62636410224988,SP,Café Floresta,v-1565409054
14,"[{'id': '4bf58dd8d48988d1ee931735', 'name': 'Hostel', 'pluralName': 'Hostels', 'shortName': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}, 'primary': True}]",False,4e3f15c81f6e844231fbaac3,,BR,São Paulo,Brasil,,114,"['São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534207384876105, 'lng': -46.626302857558464}]",-23.534207384876105,-46.626302857558464,SP,Hotel Carinhoso,v-1565409054
15,"[{'id': '507c8c4091d498d9fc8c67a9', 'name': 'Public Art', 'pluralName': 'Public Art', 'shortName': 'Public Art', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}, 'primary': True}]",False,5091d52ae4b013eba655ff6a,,BR,,Brasil,,134,['Brasil'],"[{'label': 'display', 'lat': -23.534638685073407, 'lng': -46.62620392398513}]",-23.534638685073407,-46.62620392398513,,Springfield,v-1565409054
16,"[{'id': '4bf58dd8d48988d1d0941735', 'name': 'Dessert Shop', 'pluralName': 'Dessert Shops', 'shortName': 'Desserts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}, 'primary': True}]",False,52937d5e11d2707e951aa461,,BR,,Brasil,,130,['Brasil'],"[{'label': 'display', 'lat': -23.533404443887108, 'lng': -46.62407454418384}]",-23.533404443887108,-46.62407454418384,,Sodiê Doces,v-1565409054
17,"[{'id': '4bf58dd8d48988d1f7941735', 'name': 'Flea Market', 'pluralName': 'Flea Markets', 'shortName': 'Flea Market', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/fleamarket_', 'suffix': '.png'}, 'primary': True}]",False,55f2d109498e775a0173470a,,BR,,Brasil,,159,['Brasil'],"[{'label': 'display', 'lat': -23.534597, 'lng': -46.624007}]",-23.534597,-46.624007,,비아식품,v-1565409054
18,"[{'id': '4bf58dd8d48988d124951735', 'name': 'Automotive Shop', 'pluralName': 'Automotive Shops', 'shortName': 'Automotive', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/automotive_', 'suffix': '.png'}, 'primary': True}]",False,4f6247ebe4b07f729037a7d0,"Av. Cruzeiro do Sul, 34 - Pari, São Paulo, 03033-020",BR,São Paulo,Brasil,,92,"['Av. Cruzeiro do Sul, 34 - Pari, São Paulo, 03033-020', 'São Paulo, SP', '03033-020', 'Brasil']","[{'label': 'display', 'lat': -23.534546612359552, 'lng': -46.62495078238163}]",-23.534546612359552,-46.62495078238163,SP,Super troca de oleo Jacobina,v-1565409054
19,"[{'id': '4d4b7105d754a06375d81259', 'name': 'Professional & Other Places', 'pluralName': 'Professional & Other Places', 'shortName': 'Professional', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",False,4dd2733252b15d0acc7dfd12,Acesso para R João Teodoro - Bom Retiro,BR,São Paulo,Brasil,,78,"['Acesso para R João Teodoro - Bom Retiro', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533854496878362, 'lng': -46.62605316844133}]",-23.533854496878362,-46.62605316844133,SP,Braspress - CCT,v-1565409054
20,"[{'id': '4bf58dd8d48988d1f6931735', 'name': 'General Travel', 'pluralName': 'General Travel', 'shortName': 'Travel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}, 'primary': True}]",False,54062043498e46786b78b72f,"Rua Pedro Alvares Cabral, 126",BR,São Paulo,Brasil,,73,"['Rua Pedro Alvares Cabral, 126', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534327116758416, 'lng': -46.625680992644405}]",-23.534327116758416,-46.625680992644405,SP,Adesul Agencia de Viagens,v-1565409054
21,"[{'id': '4bf58dd8d48988d103951735', 'name': 'Clothing Store', 'pluralName': 'Clothing Stores', 'shortName': 'Apparel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_', 'suffix': '.png'}, 'primary': True}]",False,512669b0e4b0b2bcc155479f,,BR,,Brasil,,168,['Brasil'],"[{'label': 'display', 'lat': -23.53451919555664, 'lng': -46.62384796142578}]",-23.53451919555664,-46.62384796142578,,Chocomentha,v-1565409054
22,"[{'id': '4bf58dd8d48988d1df931735', 'name': 'BBQ Joint', 'pluralName': 'BBQ Joints', 'shortName': 'BBQ', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}, 'primary': True}]",False,5172d2e6e4b0f0aa575bffbe,Rua Da Cantareira,BR,São Paulo,Brasil,,193,"['Rua Da Cantareira', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534697832272418, 'lng': -46.62689646312113}]",-23.534697832272418,-46.62689646312113,SP,Churrascaria Espeto do Sul,v-1565409054
23,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",False,501ed391e4b0efa1ec785b29,Brás,BR,São Paulo,Brasil,,262,"['Brás', 'São Paulo, Rio de Janeiro', 'Brasil']","[{'label': 'display', 'lat': -23.534885962626056, 'lng': -46.62302681589856}]",-23.534885962626056,-46.62302681589856,Rio de Janeiro,R. João Teodoro,v-1565409054
24,"[{'id': '4bf58dd8d48988d16b941735', 'name': 'Brazilian Restaurant', 'pluralName': 'Brazilian Restaurants', 'shortName': 'Brazilian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}, 'primary': True}]",False,4e89d7fb2c5b673ad556e261,"Rua Joao Teodoro, 564",BR,,Brasil,,269,"['Rua Joao Teodoro, 564', 'Brasil']","[{'label': 'display', 'lat': -23.534810070758567, 'lng': -46.62767852568288}]",-23.534810070758567,-46.62767852568288,,Bar do Primo,v-1565409054
25,"[{'id': '4bf58dd8d48988d1c7941735', 'name': 'Snack Place', 'pluralName': 'Snack Places', 'shortName': 'Snacks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/snacks_', 'suffix': '.png'}, 'primary': True}]",False,4fb378eae4b00e09e21415a3,"Rua Alfredo Maia, 544",BR,,Brasil,,216,"['Rua Alfredo Maia, 544', 'Brasil']","[{'label': 'display', 'lat': -23.53186278821081, 'lng': -46.62567157050838}]",-23.53186278821081,-46.62567157050838,,Bar do Zé,v-1565409054
26,"[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,4cf6fe9f55e137046f47d0b6,"R. João Teodoro, 538",BR,São Paulo,Brasil,,228,"['R. João Teodoro, 538', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533700787943413, 'lng': -46.627523054437695}]",-23.533700787943413,-46.627523054437695,SP,Bar do Bigode,v-1565409054
27,"[{'id': '4bf58dd8d48988d1cb941735', 'name': 'Food Truck', 'pluralName': 'Food Trucks', 'shortName': 'Food Truck', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/streetfood_', 'suffix': '.png'}, 'primary': True}]",False,532a3bd5498eb260342a77c5,,BR,,Brasil,,236,['Brasil'],"[{'label': 'display', 'lat': -23.533736589714138, 'lng': -46.622972201875164}]",-23.533736589714138,-46.622972201875164,,Banca do Churrasco Grego,v-1565409054
28,"[{'id': '4bf58dd8d48988d126941735', 'name': 'Government Building', 'pluralName': 'Government Buildings', 'shortName': 'Government', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_', 'suffix': '.png'}, 'primary': True}]",False,4d838fdbf9f3a1cdcd2da364,"Rua Jorge Miranda, 367",BR,São Paulo,Brasil,,213,"['Rua Jorge Miranda, 367', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.532235, 'lng': -46.626533}]",-23.532235,-46.626533,SP,2º BPMChoque,v-1565409054
29,[],False,4d16212925cda1430d576ed6,Rua caninde,BR,,Brasil,,201,"['Rua caninde', 'Brasil']","[{'label': 'display', 'lat': -23.53197, 'lng': -46.625471}]",-23.53197,-46.625471,,@millalegiao,v-1565409054
0,"[{'id': '4bf58dd8d48988d1fa931735', 'name': 'Hotel', 'pluralName': 'Hotels', 'shortName': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}, 'primary': True}]",False,4b0588bbf964a5207ad622e3,161 Changle Rd,CN,上海市,中国,Ruijin Yi Rd,95,"['161 Changle Rd (Ruijin Yi Rd)', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.222937135364045, 'lng': 121.4586094553618}]",31.222937135364045,121.4586094553618,上海市,Jin Jiang Tower (Jin Jiang Tower (新锦江酒店)),v-1565409055
1,"[{'id': '4bf58dd8d48988d1fd931735', 'name': 'Metro Station', 'pluralName': 'Metro Stations', 'shortName': 'Metro', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/subway_', 'suffix': '.png'}, 'primary': True}]",False,5674f055498ef5898d977056,"Huaihai M Rd, Ruijin 1st Rd | 淮海中路, 瑞金一路",CN,Xuhui,中国,Line 13,173,"['Huaihai M Rd, Ruijin 1st Rd | 淮海中路, 瑞金一路 (Line 13)', 'Xuhui', '上海市', '中国']","[{'label': 'display', 'lat': 31.221850127127283, 'lng': 121.4598323660266}]",31.221850127127283,121.4598323660266,上海市,Middle Huaihai Road Metro Station (淮海中路地铁站),v-1565409055
2,"[{'id': '4bf58dd8d48988d145941735', 'name': 'Chinese Restaurant', 'pluralName': 'Chinese Restaurants', 'shortName': 'Chinese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",False,5054286ce4b0c6835f36f11c,,CN,,中国,,23,['中国'],"[{'label': 'display', 'lat': 31.2224178314209, 'lng': 121.4581527709961}]",31.2224178314209,121.4581527709961,,豊裕,v-1565409055
3,"[{'id': '4d954b0ea243a5684a65b473', 'name': 'Convenience Store', 'pluralName': 'Convenience Stores', 'shortName': 'Convenience Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}, 'primary': True}]",False,56d6b19a498e3aca1a12fda5,,CN,,中国,,48,['中国'],"[{'label': 'display', 'lat': 31.222647525502783, 'lng': 121.45815770820123}]",31.222647525502783,121.45815770820123,,Family Mart (全家),v-1565409055
