,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,state,id
9,Tuti Flores,,"R. 0vautier, 323",BR,São Paulo,Brasil,,116,"['R. 0vautier, 323', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.532727954690085, 'lng': -46.625370063096035}]",-23.532727954690085,-46.625370063096035,SP,4e58e44bd4c0ba8c119584a7
10,Tia do Café,Breakfast Spot,"Av: Do Estado, 2340",BR,São Paulo,Brasil,Av: São Caetano,175,"['Av: Do Estado, 2340 (Av: São Caetano)', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.535284536455244, 'lng': -46.62576579194867}]",-23.535284536455244,-46.62576579194867,SP,53155d4d498efeb8126420b5
11,Grill do Estado,Beer Garden,"Rua Joao Teodoro, 969",BR,São Paulo,Brasil,,224,"['Rua Joao Teodoro, 969', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534679388883973, 'lng': -46.62333022490943}]",-23.534679388883973,-46.62333022490943,SP,5000d5bfe4b0b1602b5ed559
12,Futura Nova Sede Do Cptran,Police Station,,BR,São Paulo,Brasil,,57,"['São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534182, 'lng': -46.624944}]",-23.534182,-46.624944,SP,59f9b97ae679bc2eaadfac8e
13,Café Floresta,Coffee Shop,Shopping Azulão,BR,São Paulo,Brasil,,110,"['Shopping Azulão', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533625323297567, 'lng': -46.62636410224988}]",-23.533625323297567,-46.62636410224988,SP,52dce44a11d244d38fa59ef8
14,Hotel Carinhoso,Hostel,,BR,São Paulo,Brasil,,114,"['São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534207384876105, 'lng': -46.626302857558464}]",-23.534207384876105,-46.626302857558464,SP,4e3f15c81f6e844231fbaac3
15,Springfield,Public Art,,BR,,Brasil,,134,['Brasil'],"[{'label': 'display', 'lat': -23.534638685073407, 'lng': -46.62620392398513}]",-23.534638685073407,-46.62620392398513,,5091d52ae4b013eba655ff6a
16,Sodiê Doces,Dessert Shop,,BR,,Brasil,,130,['Brasil'],"[{'label': 'display', 'lat': -23.533404443887108, 'lng': -46.62407454418384}]",-23.533404443887108,-46.62407454418384,,52937d5e11d2707e951aa461
17,비아식품,Flea Market,,BR,,Brasil,,159,['Brasil'],"[{'label': 'display', 'lat': -23.534597, 'lng': -46.624007}]",-23.534597,-46.624007,,55f2d109498e775a0173470a
18,Super troca de oleo Jacobina,Automotive Shop,"Av. Cruzeiro do Sul, 34 - Pari, São Paulo, 03033-020",BR,São Paulo,Brasil,,92,"['Av. Cruzeiro do Sul, 34 - Pari, São Paulo, 03033-020', 'São Paulo, SP', '03033-020', 'Brasil']","[{'label': 'display', 'lat': -23.534546612359552, 'lng': -46.62495078238163}]",-23.534546612359552,-46.62495078238163,SP,4f6247ebe4b07f729037a7d0
19,Braspress - CCT,Professional & Other Places,Acesso para R João Teodoro - Bom Retiro,BR,São Paulo,Brasil,,78,"['Acesso para R João Teodoro - Bom Retiro', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533854496878362, 'lng': -46.62605316844133}]",-23.533854496878362,-46.62605316844133,SP,4dd2733252b15d0acc7dfd12
20,Adesul Agencia de Viagens,General Travel,"Rua Pedro Alvares Cabral, 126",BR,São Paulo,Brasil,,73,"['Rua Pedro Alvares Cabral, 126', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534327116758416, 'lng': -46.625680992644405}]",-23.534327116758416,-46.625680992644405,SP,54062043498e46786b78b72f
21,Chocomentha,Clothing Store,,BR,,Brasil,,168,['Brasil'],"[{'label': 'display', 'lat': -23.53451919555664, 'lng': -46.62384796142578}]",-23.53451919555664,-46.62384796142578,,512669b0e4b0b2bcc155479f
22,Churrascaria Espeto do Sul,BBQ Joint,Rua Da Cantareira,BR,São Paulo,Brasil,,193,"['Rua Da Cantareira', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.534697832272418, 'lng': -46.62689646312113}]",-23.534697832272418,-46.62689646312113,SP,5172d2e6e4b0f0aa575bffbe
23,R. João Teodoro,Residential Building (Apartment / Condo),Brás,BR,São Paulo,Brasil,,262,"['Brás', 'São Paulo, Rio de Janeiro', 'Brasil']","[{'label': 'display', 'lat': -23.534885962626056, 'lng': -46.62302681589856}]",-23.534885962626056,-46.62302681589856,Rio de Janeiro,501ed391e4b0efa1ec785b29
24,Bar do Primo,Brazilian Restaurant,"Rua Joao Teodoro, 564",BR,,Brasil,,269,"['Rua Joao Teodoro, 564', 'Brasil']","[{'label': 'display', 'lat': -23.534810070758567, 'lng': -46.62767852568288}]",-23.534810070758567,-46.62767852568288,,4e89d7fb2c5b673ad556e261
25,Bar do Zé,Snack Place,"Rua Alfredo Maia, 544",BR,,Brasil,,216,"['Rua Alfredo Maia, 544', 'Brasil']","[{'label': 'display', 'lat': -23.53186278821081, 'lng': -46.62567157050838}]",-23.53186278821081,-46.62567157050838,,4fb378eae4b00e09e21415a3
26,Bar do Bigode,Bar,"R. João Teodoro, 538",BR,São Paulo,Brasil,,228,"['R. João Teodoro, 538', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.533700787943413, 'lng': -46.627523054437695}]",-23.533700787943413,-46.627523054437695,SP,4cf6fe9f55e137046f47d0b6
27,Banca do Churrasco Grego,Food Truck,,BR,,Brasil,,236,['Brasil'],"[{'label': 'display', 'lat': -23.533736589714138, 'lng': -46.622972201875164}]",-23.533736589714138,-46.622972201875164,,532a3bd5498eb260342a77c5
28,2º BPMChoque,Government Building,"Rua Jorge Miranda, 367",BR,São Paulo,Brasil,,213,"['Rua Jorge Miranda, 367', 'São Paulo, SP', 'Brasil']","[{'label': 'display', 'lat': -23.532235, 'lng': -46.626533}]",-23.532235,-46.626533,SP,4d838fdbf9f3a1cdcd2da364
29,@millalegiao,,Rua caninde,BR,,Brasil,,201,"['Rua caninde', 'Brasil']","[{'label': 'display', 'lat': -23.53197, 'lng': -46.625471}]",-23.53197,-46.625471,,4d16212925cda1430d576ed6
0,Jin Jiang Tower (Jin Jiang Tower (新锦江酒店)),Hotel,161 Changle Rd,CN,上海市,中国,Ruijin Yi Rd,95,"['161 Changle Rd (Ruijin Yi Rd)', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.222937135364045, 'lng': 121.4586094553618}]",31.222937135364045,121.4586094553618,上海市,4b0588bbf964a5207ad622e3
1,Middle Huaihai Road Metro Station (淮海中路地铁站),Metro Station,"Huaihai M Rd, Ruijin 1st Rd | 淮海中路, 瑞金一路",CN,Xuhui,中国,Line 13,173,"['Huaihai M Rd, Ruijin 1st Rd | 淮海中路, 瑞金一路 (Line 13)', 'Xuhui', '上海市', '中国']","[{'label': 'display', 'lat': 31.221850127127283, 'lng': 121.4598323660266}]",31.221850127127283,121.4598323660266,上海市,5674f055498ef5898d977056
2,豊裕,Chinese Restaurant,,CN,,中国,,23,['中国'],"[{'label': 'display', 'lat': 31.2224178314209, 'lng': 121.4581527709961}]",31.2224178314209,121.4581527709961,,5054286ce4b0c6835f36f11c
3,Family Mart (全家),Convenience Store,,CN,,中国,,48,['中国'],"[{'label': 'display', 'lat': 31.222647525502783, 'lng': 121.45815770820123}]",31.222647525502783,121.45815770820123,,56d6b19a498e3aca1a12fda5
4,McDonald's (麦当劳),Fast Food Restaurant,淮海中路918号,CN,Jing'an,中国,陕西南路,494,"['淮海中路918号 (陕西南路)', ""Jing'an"", '上海市', '中国']","[{'label': 'display', 'lat': 31.218859854912083, 'lng': 121.45465709991429}]",31.218859854912083,121.45465709991429,上海市,4cdbcce83f6a8cfada3dedea
5,小南国日式烧烤,BBQ Joint,"长乐路161号, 新锦江大酒店3楼",CN,上海市,中国,瑞金一路,70,"['长乐路161号, 新锦江大酒店3楼 (瑞金一路)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.2228250113594, 'lng': 121.45826371195676}]",31.2228250113594,121.45826371195676,上海市,4c0a02bc35ac9c74e98a85f7
6,Seafood Noodle (十面欢腾),Seafood Restaurant,352 Changle Rd | 长乐路352号,CN,Jing’an,中国,Ruijin 1st Rd | 瑞金一路,92,"['352 Changle Rd | 长乐路352号 (Ruijin 1st Rd | 瑞金一路), Jìngān', 'Jing’an', '上海市', '中国']","[{'label': 'display', 'lat': 31.223022, 'lng': 121.457788}]",31.223022,121.457788,上海市,4d804ad4577eb1f76500a6d3
7,Orient Optical,Optical Shop,瑞金一路142号,CN,上海市,中国,淮海中路,90,"['瑞金一路142号 (淮海中路)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.221957, 'lng': 121.458965}]",31.221957,121.458965,上海市,5b6c0123396de0002c2829e5
8,Shanghai Tang,Accessories Store,59 Mao Ming Nan Road,CN,上海市,中国,,180,"['59 Mao Ming Nan Road', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.222629, 'lng': 121.456226}]",31.222629,121.456226,上海市,4b0588c4f964a52031d922e3
9,SEPHORA (丝芙兰),Cosmetics Shop,939 Middle Huaihai Rd (巴黎春天),CN,上海市,中国,South Shanxi Rd,129,"['939 Middle Huaihai Rd (巴黎春天) (South Shanxi Rd)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.221408600953797, 'lng': 121.45902805194278}]",31.221408600953797,121.45902805194278,上海市,507290d2e4b07e253d4c291f
10,花鳥風月,Japanese Restaurant,长乐路318号（*瑞金一路）,CN,上海市,中国,,166,"['长乐路318号（*瑞金一路）', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.223325539181506, 'lng': 121.4592432975769}]",31.223325539181506,121.4592432975769,上海市,517e5098e4b0cfe160f51174
11,丰裕生煎小吃,Chinese Restaurant,瑞金一路142号旁,CN,上海市,中国,淮海中路,160,"['瑞金一路142号旁 (淮海中路)', '上海市', '上海市, 20000', '中国']","[{'label': 'display', 'lat': 31.221291714098616, 'lng': 121.45935163960836}]",31.221291714098616,121.45935163960836,上海市,4e800355f790e8a841ede619
12,Xinwang Restaurant (新旺茶餐厅),Hong Kong Restaurant,长乐路175号 | 175 Changle Rd.,CN,上海市,中国,茂名南路 | Maoming Rd. (S),129,"['长乐路175号 | 175 Changle Rd. (茂名南路 | Maoming Rd. (S))', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.222918020961508, 'lng': 121.45697436150694}]",31.222918020961508,121.45697436150694,上海市,4ba3d506f964a520636438e3
13,Bi Feng Tang (避风塘),Cantonese Restaurant,长乐路175号,CN,上海市,中国,茂名路,155,"['长乐路175号 (茂名路)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.222981, 'lng': 121.4566955}]",31.222981,121.4566955,上海市,4b97c008f964a520471335e3
14,"VIP Club, Jin Jiang Hotel (锦江酒店 贵宾俱乐部)",Chinese Restaurant,上海市卢湾区茂名南路59号,CN,上海市,中国,,116,"['上海市卢湾区茂名南路59号', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.22288502898567, 'lng': 121.45900573551863}]",31.22288502898567,121.45900573551863,上海市,4bdc0f4bc712b713e5b463b4
15,Harbour Apartments,Residential Building (Apartment / Condo),417 Julu Lu,CN,上海市,中国,,5,"['417 Julu Lu', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.222239, 'lng': 121.458012}]",31.222239,121.458012,上海市,59b11973cf72a0694760b2e1
16,Kee Club,Club House,796 M Huaihai Rd,CN,上海市,中国,Maoming Rd,149,"['796 M Huaihai Rd (Maoming Rd)', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.220879442902405, 'lng': 121.45810264328675}]",31.220879442902405,121.45810264328675,上海市,4b72b661f964a520f5842de3
17,Old Shanghai Moon Restaurant,Chinese Restaurant,,CN,,中国,,185,['中国'],"[{'label': 'display', 'lat': 31.222965857946722, 'lng': 121.45631657480874}]",31.222965857946722,121.45631657480874,,4f6f007be4b0ca47b264dbb9
18,Tairyo Teppanyaki (大渔铁板烧),Japanese Restaurant,2/F 139 Ruijin 1st Rd | 瑞金一路139号2楼,CN,Jing'an,中国,Changle Rd | 长乐路,114,"['2/F 139 Ruijin 1st Rd | 瑞金一路139号2楼 (Changle Rd | 长乐路)', ""Jing'an"", '上海市', '中国']","[{'label': 'display', 'lat': 31.2229551691732, 'lng': 121.45889539311476}]",31.2229551691732,121.45889539311476,上海市,4bc8609615a7ef3b7beb7ada
19,"Aska, Japanese restaurant",Japanese Restaurant,Changle Road,CN,上海市,中国,Ruijin Road,116,"['Changle Road (Ruijin Road)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.22309284326202, 'lng': 121.45874351721113}]",31.22309284326202,121.45874351721113,上海市,4c7dd5e1724976b0cc88a40a
20,United Nude,Shoe Store,Huaihai st,CN,上海市,中国,,203,"['Huaihai st', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.220396463746468, 'lng': 121.45819118308191}]",31.220396463746468,121.45819118308191,上海市,4d99b50aa2c65481502f0d54
21,向明中学,High School,瑞金一路100号,CN,上海市,中国,,82,"['瑞金一路100号', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.22238914166939, 'lng': 121.45889973244479}]",31.22238914166939,121.45889973244479,上海市,4b643db1f964a520e8a52ae3
22,万藏BANKURA,Japanese Restaurant,长乐路344号1楼,CN,上海市,中国,瑞金一路口,98,"['长乐路344号1楼 (瑞金一路口)', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.223096962447627, 'lng': 121.4581960216121}]",31.223096962447627,121.4581960216121,上海市,4c9c3bd4542b224bb4f9de9f
23,心乐面馆,Shandong Restaurant,进贤路120号,CN,上海市,中国,茂名南路,187,"['进贤路120号 (茂名南路)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.221697, 'lng': 121.459937}]",31.221697,121.459937,上海市,59eaf6b96fa81f72c812bc49
24,甬府,Zhejiang Restaurant,"12/F, North Building, Jinjiang Hotel, 59 Maoming Nan Road | 茂名南路59号锦江饭店锦北楼12楼",CN,上海市,中国,Changle Road | 近长乐路,124,"['12/F, North Building, Jinjiang Hotel, 59 Maoming Nan Road | 茂名南路59号锦江饭店锦北楼12楼 (Changle Road | 近长乐路), Jìngān', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.22213382996031, 'lng': 121.45675175444337}]",31.22213382996031,121.45675175444337,上海市,54424ad1498eeca538f310f7
25,驰翰艺术馆 Johhan Auction Gallery,Art Gallery,407 Julu Road,CN,上海市,中国,Shaanxi Road,47,"['407 Julu Road (Shaanxi Road)', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.2226093617449, 'lng': 121.45784527551321}]",31.2226093617449,121.45784527551321,上海市,4dd47c72ae60a78cec58a8cc
26,Jin Lu,Chinese Restaurant,,CN,,中国,,156,['中国'],"[{'label': 'display', 'lat': 31.22236404599595, 'lng': 121.45642258025553}]",31.22236404599595,121.45642258025553,,4fbcd39ee4b0cc7b0169abbe
27,转角上海老弄堂餐厅,Shanghai Restaurant,瑞金一路139号2楼,CN,上海市,中国,,123,"['瑞金一路139号2楼', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.223000157580408, 'lng': 121.45898899819764}]",31.223000157580408,121.45898899819764,上海市,553b6ae3498e983c7ebfb2db
28,Ruby (红宝石),Cupcake Shop,瑞金一路128号,CN,上海市,中国,近淮海中路,140,"['瑞金一路128号 (近淮海中路)', '上海市', '上海市, 200020', '中国']","[{'label': 'display', 'lat': 31.221400454742223, 'lng': 121.45917868769311}]",31.221400454742223,121.45917868769311,上海市,4de9c0cbc65be8091d945867
29,老夜上海,Chinese Restaurant,11楼，锦江饭店，茂名路,CN,上海市,中国,,133,"['11楼，锦江饭店，茂名路', '上海市', '上海市', '中国']","[{'label': 'display', 'lat': 31.22240333431301, 'lng': 121.45667922461826}]",31.22240333431301,121.45667922461826,上海市,4d303f3e5f806dcb931117ac
