,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,state,id
6,Central Pier No. 5 (中環 5 號碼頭),Pier,Man Kwong St,HK,Central,香港,,306,"['Man Kwong St', 'Hong Kong Island', '香港']","[{'label': 'display', 'lat': 22.287741734214816, 'lng': 114.15944636079624}]",22.287741734214816,114.15944636079624,Hong Kong Island,4bb93684cf2fc9b6d55fa002
7,LANVIN-Ladies,Women's Store,"Shop 2043, ifc Mall, 8 Finance St.",HK,中環,香港,,99,"['Shop 2043, ifc Mall, 8 Finance St.', '中西區', '香港']","[{'label': 'display', 'lat': 22.28640242879588, 'lng': 114.15784330226415}]",22.28640242879588,114.15784330226415,中西區,4d1c66abf8ca236a06cbf530
8,Palace IFC (百老匯院線),Multiplex,"Shop 1058B, 1/F, ifc mall, 8 Finance St",HK,中環,香港,,55,"['Shop 1058B, 1/F, ifc mall, 8 Finance St', '中西區', '香港']","[{'label': 'display', 'lat': 22.285742434142808, 'lng': 114.1581680176365}]",22.285742434142808,114.1581680176365,中西區,4b0df819f964a5204e5323e3
9,Apple ifc mall,Electronics Store,"IFC Mall, 8 Finance St",HK,中環,香港,,175,"['IFC Mall, 8 Finance St', '中西區', '香港']","[{'label': 'display', 'lat': 22.284601807590427, 'lng': 114.15907233953476}]",22.284601807590427,114.15907233953476,中西區,4d6cdd3c1dfca35d169b3fe0
10,David Braga Dentistry,Dentist's Office,402 Baskerville House,HK,中環,香港,22 Ice House Street,723,"['402 Baskerville House (22 Ice House Street)', '中西區', '香港']","[{'label': 'display', 'lat': 22.279097090632824, 'lng': 114.15661247807412}]",22.279097090632824,114.15661247807412,中西區,4ddf1563227140b904f9cdce
11,Yat Lok Restaurant (一樂燒鵝),Cantonese Restaurant,"G/F, 34-38 Stanley St",HK,中環,香港,,409,"['G/F, 34-38 Stanley St', '中西區', '香港']","[{'label': 'display', 'lat': 22.28253600884452, 'lng': 114.15536735301605}]",22.28253600884452,114.15536735301605,中西區,4ed70871be7b3567163a9b79
12,Joint Dynamics,Gym / Fitness Center,59-65 Queen's Road Central 5/F,HK,香港,香港,,345,"[""59-65 Queen's Road Central 5/F"", '香港']","[{'label': 'display', 'lat': 22.283054129272944, 'lng': 114.15565421735573}]",22.283054129272944,114.15565421735573,,5225c99e11d2d05b42c10ce7
13,Fuel Espresso,Coffee Shop,"Shop 3023, 3/F, IFC Mall, 1 Harbour View St",HK,中環,香港,,63,"['Shop 3023, 3/F, IFC Mall, 1 Harbour View St', '中西區', '香港']","[{'label': 'display', 'lat': 22.28507494595841, 'lng': 114.15729744090731}]",22.28507494595841,114.15729744090731,中西區,4b42db5af964a52081da25e3
14,ifc mall (國際金融中心商場),Shopping Mall,8 Finance St,HK,香港,香港,,111,"['8 Finance St', '香港']","[{'label': 'display', 'lat': 22.2846131, 'lng': 114.158156172}]",22.2846131,114.158156172,,4b0588def964a520b9dd22e3
15,Coach Hong Kong,Accessories Store,Shop 1038,HK,中環,香港,IFC Mall,19,"['Shop 1038 (IFC Mall)', '中西區', '香港']","[{'label': 'display', 'lat': 22.28556922725017, 'lng': 114.15751237345368}]",22.28556922725017,114.15751237345368,中西區,5676860c498ea48273bc5dce
16,Central Pier No. 7 (Star Ferry) (中環7號碼頭 (天星小輪)),Pier,Man Kwong St,HK,中環,香港,,352,"['Man Kwong St', '中西區', '香港']","[{'label': 'display', 'lat': 22.286729208483546, 'lng': 114.16085648482989}]",22.286729208483546,114.16085648482989,中西區,4b559a1ef964a520a7e827e3
17,Two International Finance Centre Minibus Terminus 國際金融中心二期小巴總站,Bus Station,Finance St,HK,中環,香港,,49,"['Finance St', '中西區', '香港']","[{'label': 'display', 'lat': 22.28510550868201, 'lng': 114.15750656768289}]",22.28510550868201,114.15750656768289,中西區,4d4ab77c48a06dcbabd17da2
18,MTR Hong Kong Station (港鐵香港站),Metro Station,Harbour View St,HK,中環,香港,,87,"['Harbour View St', '香港']","[{'label': 'display', 'lat': 22.285054070191876, 'lng': 114.15837868775205}]",22.285054070191876,114.15837868775205,,4b4e9d37f964a520a4f226e3
19,Hong Kong Station Minibus Terminus (香港站小巴總站),Bus Station,Harbour View St,HK,中環,香港,,132,"['Harbour View St', '中西區', '香港']","[{'label': 'display', 'lat': 22.284377, 'lng': 114.158056}]",22.284377,114.158056,中西區,52805ae411d2a293a2698450
20,Swarovski,Jewelry Store,"1 Harbour View St, IFC Mall",HK,中環,香港,Shop 1051,113,"['1 Harbour View St, IFC Mall (Shop 1051)', '中西區', '香港']","[{'label': 'display', 'lat': 22.285519068348624, 'lng': 114.15879544694083}]",22.285519068348624,114.15879544694083,中西區,4bfcb1918992a5934220abb0
