id,rating,ratingSignals,likes.count,listed.count,photos.count,price.tier,tips.count,page.user.tips.count,lat,lng,price.message_Cheap,price.message_Expensive,price.message_Moderate,price.message_Very Expensive,categories_Bar,categories_Beer Bar,categories_Bistro,categories_Café,categories_Cantonese Restaurant,categories_Chinese Restaurant,categories_Church,categories_City Hall,categories_Cocktail Bar,categories_Coffee Shop,categories_Cosmetics Shop,categories_Department Store,categories_Electronics Store,categories_French Restaurant,categories_Fried Chicken Joint,categories_German Restaurant,categories_Hotel,categories_Japanese Restaurant,categories_Movie Theater,categories_Multiplex,categories_Park,categories_Pedestrian Plaza,categories_Pizza Place,categories_Plaza,categories_Post Office,categories_Restaurant,categories_Salon / Barbershop,categories_Shoe Store,categories_Shopping Mall,categories_Soba Restaurant,categories_Souvenir Shop,categories_Spanish Restaurant,categories_Steakhouse,categories_Supermarket,categories_Track Stadium,categories_Train Station,categories_Vegetarian / Vegan Restaurant,categories_Vietnamese Restaurant,categories_Women's Store,cc_AU,cc_FR,cc_GB,cc_HK,cc_JP,cc_US
535ac87611d2d5f9d8bc1606,5.6,214.0,108,11,670,1.962962962962963,16,2166.4,35.67772716044116,139.76484775543213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4b4162b1f964a52016c625e3,5.5,251.0,112,76,1255,1.962962962962963,20,2166.4,35.64602,139.82663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5a58aa030457b76a1a32c504,7.9,7.0,7,1,86,1.0,2,2166.4,35.64561886829113,139.82622546825522,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4bf08e94f45ec928a000943c,5.0,21.0,5,6,194,1.962962962962963,7,2166.4,35.64594320766683,139.82650849840402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4be0ffc70365c9b6fbbab238,7.7,37.0,29,15,190,1.962962962962963,2,2166.4,35.65583305799876,139.85259703993228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4a676321f964a52051c91fe3,8.2,282.0,214,298,1101,1.962962962962963,82,0.0,40.712658728604865,-74.00588035583496,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4b475390f964a520f12e26e3,6.2,8.0,4,1,1,1.0,2,2166.4,40.712785672206365,-74.00594379881144,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3fd66200f964a520d8f11ee3,9.0,1272.0,1065,460,1856,1.962962962962963,138,28844.0,40.71241508549692,-74.00672422767822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4bf41231e5eba59334341f90,9.1,693.0,590,372,2017,1.962962962962963,54,1007.0,48.85692475726913,2.3514118156673676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58d800df9435a979b8a645fa,8.7,11.0,12,6,72,1.962962962962963,0,2166.4,48.855130568830376,2.352289446225441,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
